"Qty","Manufacturer_Part_Number","Reference"
"1","3586TR","U1"
"3","1984617","J1,J5,J6"
"1","74438356018","L1"
"3","C0805C104K5RACTU","C3,C13,C15"
"2","C3216X5R1E336M160AC","C12,C14"
"1","CL21A106KAYNNNG","C2"
"3","CL21B104KBCNNNC","C1,C4,C5"
"1","CL21C221JBANNNC","C6"
"1","CRG0805F220K","R1"
"2","DRV8231DDAR","IC9,IC10"
"1","RC0805FR-0730K1L","R2"
"1","RC0805FR-0740K2L","R4"
"2","RG2012P-203-B-T5","R3,R5"
"2","RL1220S-R20-F","R10,R11"
"1","SMF12CA","D4"
"1","SSM3J334R,LF","Q1"
"1","TPS564242DRLR","IC1"
"1","UWT1V101MCL1GS","C7"
