Designator,Footprint,Quantity,Value,LCSC Part #
12V,TestPoint_Pad_1.5x1.5mm,1,12V,
3V3,TestPoint_Pad_1.5x1.5mm,1,3.3V,
5V,TestPoint_Pad_1.5x1.5mm,1,5V,
C1,CAPC2012X95N,1,22uF,CL21A226MAYNNNE
"C12, C14",CAPC3216X180N,2,33uF,
"C13, C15, C3, C8, C9",C0805,5,0.1uF,
C2,CAPC2012X145N,1,10uF,
"C4, C5",CAPC2012X95N,2,22uF,
C6,CAPC2012X75N,1,220pF,
C7,CAPAE660X800N,1,100uF,
D4,SODFL3616X135N,1,15V,
GND,TestPoint_Pad_1.5x1.5mm,1,GND,
IC1,SOTFL50P160X60-6N,1,TPS564242DRLR,
"IC10, IC9",SOIC127P600X170-9N,2,DRV8231DDAR,
J1,1984617,1,Battery Terminal,
J3,PPPC061LGBNRC,1,HC-05,
J4,1984617,1,Metal Detector,
"J5, J6",1984617,2,~,
L1,INDPM4141X200N,1,1.8uH,
Q1,2SC2712GRLF,1,SSM3J334RLF,
Q3,TO-92__TO-226_,1,BC237B,
R1,RESC2012X65N,1,220kR,
"R10, R11",RESC2013X65N,2,0.2R,
R2,RESC2012X65N,1,30kR,
R3,RESC2012X50N,1,20kR,
R4,RESC2012X60N,1,40kR,
U1,3586TR,1,4A,
